title,date,venue,price,link,date_and_time,location,artists
"Adrian Clarck Trio : ""Let’s dance""",jeu. 8 févr.,Péniche Marcounet,"16,48 €",https://dice.fm/event/o7w7m-adrian-clarck-trio-lets-dance-8th-feb-pniche-marcounet-paris-tickets,"jeu. 8 févr., 20:00 UTC+1","Port de l'Hotel de Ville, Paris 75004",
The Big Idea + Wysteria,jeu. 8 févr.,Point Ephémère,"15,68 €",https://dice.fm/event/6ardq-the-big-idea-wysteria-8th-feb-point-ephmre-paris-tickets,"jeu. 8 févr., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",The Big Idea
Sokuu,jeu. 8 févr.,La Maroquinerie,24 €,https://dice.fm/event/wroex-sokuu-8th-feb-la-maroquinerie-paris-tickets,"jeu. 8 févr., 20:00","23 Rue Boyer, 75020 Paris, France",Sokuu
Elliott Armen,jeu. 8 févr.,Le Hasard Ludique,13 €,https://dice.fm/event/mdew9-elliott-armen-8th-feb-le-hasard-ludique-paris-tickets,"jeu. 8 févr., 20:00","128 Avenue de Saint-Ouen, 75018 Paris, France",Elliott Armen
Gingerella + Chéri Chéri,ven. 9 févr.,Supersonic,Gratuit,https://dice.fm/event/yx9q2-gingerella-chri-chri-9th-feb-supersonic-paris-tickets,"ven. 9 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Chéri Chéri, Gingerella"
She Past Away et Sad Madona,ven. 9 févr.,La Marbrerie,"28,50 €",https://dice.fm/event/wdbkr-she-past-away-et-sad-madona-9th-feb-la-marbrerie-paris-tickets,"ven. 9 févr., 19:00","21 Rue Alexis Lepere, 93100 Montreuil, France","Sad Madona, She Past Away"
chien noir,mar. 6 févr.,La Cigale,30 €,https://dice.fm/event/pnqly-chien-noir-6th-feb-la-cigale-paris-tickets,"mar. 6 févr., 20:00","120 Boulevard de Rochechouart, 75018 Paris, France",Chien Noir
Grentperez,mar. 6 févr.,Point Ephémère,"17,96 €",https://dice.fm/event/2kggo-grentperez-6th-feb-point-ephmre-paris-tickets,"mar. 6 févr., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",grentperez
Youn Sun Nah,mar. 6 févr.,L'Avant-Seine / Théâtre de Colombes,"35,84 €",https://dice.fm/event/ova6y-youn-sun-nah-6th-feb-lavant-seine-thtre-de-colombes-paris-tickets,"mar. 6 févr., 20:00","88 Rue Saint-Denis, 92700 Colombes, France",Youn Sun Nah 5tet
Souffrance,mer. 7 févr.,La Cigale,"26,50 €",https://dice.fm/event/7gvv9-souffrance-7th-feb-la-cigale-paris-tickets,"mer. 7 févr., 19:00","120 Boulevard de Rochechouart, 75018 Paris, France",Souffrance
Harsh Symmetry + Crush of Souls,mer. 7 févr.,Supersonic Records,15 €,https://dice.fm/event/oabvy-harsh-symmetry-crush-of-souls-7th-feb-supersonic-records-paris-tickets,"mer. 7 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Crush of Souls, Harsh Symmetry"
Annie Taylor + Delilah's Dance,mer. 7 févr.,Supersonic,Gratuit,https://dice.fm/event/gq9b6-annie-taylor-delilahs-dance-7th-feb-supersonic-paris-tickets,"mer. 7 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Fools Affection, Delilah's Dance, Annie Taylor"
Tim Bernardes,mer. 7 févr.,Le Trianon,"29,60 €",https://dice.fm/event/37q6p-tim-bernardes-7th-feb-le-trianon-paris-tickets,"mer. 7 févr., 19:30","80 Boulevard de Rochechouart, 75018 Paris, France",Tim Bernardes
Molécule,mer. 7 févr.,L'Olympia,"À partir de 36,30 €",https://dice.fm/event/p5axk-molcule-7th-feb-lolympia-paris-tickets,"mer. 7 févr., 20:00","28 Boulevard des Capucines, 75009 Paris, France",Molécule
Brutalismus 3000,mer. 7 févr.,Casino de Paris,"À partir de 35,02 €",https://dice.fm/event/n5g59-brutalismus-3000-7th-feb-casino-de-paris-paris-tickets,"mer. 7 févr., 20:00","16 Rue de Clichy, 75009 Paris, France",Brutalismus 3000
LOUVE,mer. 7 févr.,La Boule Noire,16 €,https://dice.fm/event/nd77l-louve-7th-feb-la-boule-noire-paris-tickets,"mer. 7 févr., 20:00","120 Boulevard de Rochechouart, 75018 Paris, France",Louve
NILS HOFFMANN,mer. 7 févr.,Point Ephémère,"20,16 €",https://dice.fm/event/a57v2-nils-hoffmann-7th-feb-point-ephmre-paris-tickets,"mer. 7 févr., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",Nils Hoffmann
Ric Wilson,mer. 7 févr.,Le Hasard Ludique,"15,71 €",https://dice.fm/event/6a3lq-ric-wilson-7th-feb-le-hasard-ludique-paris-tickets,"mer. 7 févr., 20:00","128 Avenue de Saint-Ouen, 75018 Paris, France","Première partie, Ric Wilson"
Release Party Kcidy,mer. 7 févr.,Petit Bain,15 €,https://dice.fm/event/mg6kr-release-party-kcidy-7th-feb-petit-bain-paris-tickets,"mer. 7 févr., 20:00","7 Port de la Gare, 75013 Paris, France",KCIDY
Sauvan,jeu. 8 févr.,La Cigale,"À partir de 26,48 €",https://dice.fm/event/k9mop-sauvan-8th-feb-la-cigale-paris-tickets,"jeu. 8 févr., 19:00","120 Boulevard de Rochechouart, 75018 Paris, France","Première Partie, Sauvan"
Dave Hause + Will Hoge,jeu. 8 févr.,Supersonic Records,"13,50 €",https://dice.fm/event/od5lg-dave-hause-will-hoge-8th-feb-supersonic-records-paris-tickets,"jeu. 8 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Will Hoge, Dave Hause"
Meagre Martin + Spaghetti Kiss + Prune 99,jeu. 8 févr.,L'international,8 €,https://dice.fm/event/5p9vw-meagre-martin-spaghetti-kiss-prune-99-8th-feb-linternational-paris-tickets,"jeu. 8 févr., 19:00","5 Rue Moret, 75011 Paris, France",
Miira,jeu. 8 févr.,La Boule Noire,"16,94 €",https://dice.fm/event/b2l6v-miira-8th-feb-la-boule-noire-paris-tickets,"jeu. 8 févr., 19:30","120 Boulevard de Rochechouart, 75018 Paris, France",Miira
Oscar les vacances,jeu. 8 févr.,Le Café de la Danse,"16,50 €",https://dice.fm/event/odrrg-oscar-les-vacances-8th-feb-le-caf-de-la-danse-paris-tickets,"jeu. 8 févr., 19:30","5 Passage Louis-Philippe, 75011 Paris, France",Oscar les vacances
"Adrian Clarck Trio : ""Let’s dance""",jeu. 8 févr.,Péniche Marcounet,"16,48 €",https://dice.fm/event/o7w7m-adrian-clarck-trio-lets-dance-8th-feb-pniche-marcounet-paris-tickets,"jeu. 8 févr., 20:00 UTC+1","Port de l'Hotel de Ville, Paris 75004",
The Big Idea + Wysteria,jeu. 8 févr.,Point Ephémère,"15,68 €",https://dice.fm/event/6ardq-the-big-idea-wysteria-8th-feb-point-ephmre-paris-tickets,"jeu. 8 févr., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",The Big Idea
Sokuu,jeu. 8 févr.,La Maroquinerie,24 €,https://dice.fm/event/wroex-sokuu-8th-feb-la-maroquinerie-paris-tickets,"jeu. 8 févr., 20:00","23 Rue Boyer, 75020 Paris, France",Sokuu
Elliott Armen,jeu. 8 févr.,Le Hasard Ludique,13 €,https://dice.fm/event/mdew9-elliott-armen-8th-feb-le-hasard-ludique-paris-tickets,"jeu. 8 févr., 20:00","128 Avenue de Saint-Ouen, 75018 Paris, France",Elliott Armen
Gingerella + Chéri Chéri,ven. 9 févr.,Supersonic,Gratuit,https://dice.fm/event/yx9q2-gingerella-chri-chri-9th-feb-supersonic-paris-tickets,"ven. 9 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Chéri Chéri, Gingerella"
She Past Away et Sad Madona,ven. 9 févr.,La Marbrerie,"28,50 €",https://dice.fm/event/wdbkr-she-past-away-et-sad-madona-9th-feb-la-marbrerie-paris-tickets,"ven. 9 févr., 19:00","21 Rue Alexis Lepere, 93100 Montreuil, France","Sad Madona, She Past Away"
chien noir,mar. 6 févr.,La Cigale,30 €,https://dice.fm/event/pnqly-chien-noir-6th-feb-la-cigale-paris-tickets,"mar. 6 févr., 20:00","120 Boulevard de Rochechouart, 75018 Paris, France",Chien Noir
Grentperez,mar. 6 févr.,Point Ephémère,"17,96 €",https://dice.fm/event/2kggo-grentperez-6th-feb-point-ephmre-paris-tickets,"mar. 6 févr., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",grentperez
Youn Sun Nah,mar. 6 févr.,L'Avant-Seine / Théâtre de Colombes,"35,84 €",https://dice.fm/event/ova6y-youn-sun-nah-6th-feb-lavant-seine-thtre-de-colombes-paris-tickets,"mar. 6 févr., 20:00","88 Rue Saint-Denis, 92700 Colombes, France",Youn Sun Nah 5tet
Souffrance,mer. 7 févr.,La Cigale,"26,50 €",https://dice.fm/event/7gvv9-souffrance-7th-feb-la-cigale-paris-tickets,"mer. 7 févr., 19:00","120 Boulevard de Rochechouart, 75018 Paris, France",Souffrance
Harsh Symmetry + Crush of Souls,mer. 7 févr.,Supersonic Records,15 €,https://dice.fm/event/oabvy-harsh-symmetry-crush-of-souls-7th-feb-supersonic-records-paris-tickets,"mer. 7 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Crush of Souls, Harsh Symmetry"
Annie Taylor + Delilah's Dance,mer. 7 févr.,Supersonic,Gratuit,https://dice.fm/event/gq9b6-annie-taylor-delilahs-dance-7th-feb-supersonic-paris-tickets,"mer. 7 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Fools Affection, Delilah's Dance, Annie Taylor"
Tim Bernardes,mer. 7 févr.,Le Trianon,"29,60 €",https://dice.fm/event/37q6p-tim-bernardes-7th-feb-le-trianon-paris-tickets,"mer. 7 févr., 19:30","80 Boulevard de Rochechouart, 75018 Paris, France",Tim Bernardes
Molécule,mer. 7 févr.,L'Olympia,"À partir de 36,30 €",https://dice.fm/event/p5axk-molcule-7th-feb-lolympia-paris-tickets,"mer. 7 févr., 20:00","28 Boulevard des Capucines, 75009 Paris, France",Molécule
Brutalismus 3000,mer. 7 févr.,Casino de Paris,"À partir de 35,02 €",https://dice.fm/event/n5g59-brutalismus-3000-7th-feb-casino-de-paris-paris-tickets,"mer. 7 févr., 20:00","16 Rue de Clichy, 75009 Paris, France",Brutalismus 3000
LOUVE,mer. 7 févr.,La Boule Noire,16 €,https://dice.fm/event/nd77l-louve-7th-feb-la-boule-noire-paris-tickets,"mer. 7 févr., 20:00","120 Boulevard de Rochechouart, 75018 Paris, France",Louve
NILS HOFFMANN,mer. 7 févr.,Point Ephémère,"20,16 €",https://dice.fm/event/a57v2-nils-hoffmann-7th-feb-point-ephmre-paris-tickets,"mer. 7 févr., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",Nils Hoffmann
Ric Wilson,mer. 7 févr.,Le Hasard Ludique,"15,71 €",https://dice.fm/event/6a3lq-ric-wilson-7th-feb-le-hasard-ludique-paris-tickets,"mer. 7 févr., 20:00","128 Avenue de Saint-Ouen, 75018 Paris, France","Première partie, Ric Wilson"
Release Party Kcidy,mer. 7 févr.,Petit Bain,15 €,https://dice.fm/event/mg6kr-release-party-kcidy-7th-feb-petit-bain-paris-tickets,"mer. 7 févr., 20:00","7 Port de la Gare, 75013 Paris, France",KCIDY
Sauvan,jeu. 8 févr.,La Cigale,"À partir de 26,48 €",https://dice.fm/event/k9mop-sauvan-8th-feb-la-cigale-paris-tickets,"jeu. 8 févr., 19:00","120 Boulevard de Rochechouart, 75018 Paris, France","Première Partie, Sauvan"
Dave Hause + Will Hoge,jeu. 8 févr.,Supersonic Records,"13,50 €",https://dice.fm/event/od5lg-dave-hause-will-hoge-8th-feb-supersonic-records-paris-tickets,"jeu. 8 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Will Hoge, Dave Hause"
Meagre Martin + Spaghetti Kiss + Prune 99,jeu. 8 févr.,L'international,8 €,https://dice.fm/event/5p9vw-meagre-martin-spaghetti-kiss-prune-99-8th-feb-linternational-paris-tickets,"jeu. 8 févr., 19:00","5 Rue Moret, 75011 Paris, France",
Miira,jeu. 8 févr.,La Boule Noire,"16,94 €",https://dice.fm/event/b2l6v-miira-8th-feb-la-boule-noire-paris-tickets,"jeu. 8 févr., 19:30","120 Boulevard de Rochechouart, 75018 Paris, France",Miira
Oscar les vacances,jeu. 8 févr.,Le Café de la Danse,"16,50 €",https://dice.fm/event/odrrg-oscar-les-vacances-8th-feb-le-caf-de-la-danse-paris-tickets,"jeu. 8 févr., 19:30","5 Passage Louis-Philippe, 75011 Paris, France",Oscar les vacances
"Adrian Clarck Trio : ""Let’s dance""",jeu. 8 févr.,Péniche Marcounet,"16,48 €",https://dice.fm/event/o7w7m-adrian-clarck-trio-lets-dance-8th-feb-pniche-marcounet-paris-tickets,"jeu. 8 févr., 20:00 UTC+1","Port de l'Hotel de Ville, Paris 75004",
The Big Idea + Wysteria,jeu. 8 févr.,Point Ephémère,"15,68 €",https://dice.fm/event/6ardq-the-big-idea-wysteria-8th-feb-point-ephmre-paris-tickets,"jeu. 8 févr., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",The Big Idea
Sokuu,jeu. 8 févr.,La Maroquinerie,24 €,https://dice.fm/event/wroex-sokuu-8th-feb-la-maroquinerie-paris-tickets,"jeu. 8 févr., 20:00","23 Rue Boyer, 75020 Paris, France",Sokuu
Elliott Armen,jeu. 8 févr.,Le Hasard Ludique,13 €,https://dice.fm/event/mdew9-elliott-armen-8th-feb-le-hasard-ludique-paris-tickets,"jeu. 8 févr., 20:00","128 Avenue de Saint-Ouen, 75018 Paris, France",Elliott Armen
Gingerella + Chéri Chéri,ven. 9 févr.,Supersonic,Gratuit,https://dice.fm/event/yx9q2-gingerella-chri-chri-9th-feb-supersonic-paris-tickets,"ven. 9 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Chéri Chéri, Gingerella"
She Past Away et Sad Madona,ven. 9 févr.,La Marbrerie,"28,50 €",https://dice.fm/event/wdbkr-she-past-away-et-sad-madona-9th-feb-la-marbrerie-paris-tickets,"ven. 9 févr., 19:00","21 Rue Alexis Lepere, 93100 Montreuil, France","Sad Madona, She Past Away"
Yoshi & Di OriginalZ + Dee Nasty,ven. 9 févr.,La Place,15 €,https://dice.fm/event/pb6qw-yoshi-di-originalz-dee-nasty-9th-feb-la-place-paris-tickets,"ven. 9 févr., 19:30","10 Passage de la Canopée, 75001 Paris, France",
Dalì,ven. 9 févr.,La Boule Noire,18 €,https://dice.fm/event/mgxlw-dal-9th-feb-la-boule-noire-paris-tickets,"ven. 9 févr., 19:30","120 Boulevard de Rochechouart, 75018 Paris, France","https://open.spotify.com/intl-fr/artist/02gko1zWBeKdi4oXeV8qfo, Dalì"
Qualité Awards 2024,ven. 9 févr.,FGO-Barbara,17 €,https://dice.fm/event/7webv-qualit-awards-2024-9th-feb-fgo-barbara-paris-tickets,"ven. 9 févr., 19:30","1 Rue Fleury, 75018 Paris, France",
Swing,ven. 9 févr.,La Cigale,29 €,https://dice.fm/event/ldbgb-swing-9th-feb-la-cigale-paris-tickets,"ven. 9 févr., 20:00","120 Boulevard de Rochechouart, 75018 Paris, France",Swing
Tremplin ART'CORE,sam. 10 févr.,DOCK B,Gratuit,https://dice.fm/event/7wek6-tremplin-artcore-10th-feb-dock-b-paris-tickets,"sam. 10 févr., 18:00","1 Place de la Pointe, 93500 Pantin, France",
Pink Turns Blue,sam. 10 févr.,Supersonic Records,"22,50 €",https://dice.fm/event/bodlm-pink-turns-blue-10th-feb-supersonic-records-paris-tickets,"sam. 10 févr., 19:00","9 Rue Biscornet, 75012 Paris, France",Pink Turns Blue
Ciel,sam. 10 févr.,Supersonic,Gratuit,https://dice.fm/event/6kowq-ciel-10th-feb-supersonic-paris-tickets,"sam. 10 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Coal Noir, S O R R O R, CIEL"
Parade Ground + Guests,sam. 10 févr.,L'international,10 €,https://dice.fm/event/68mm2-parade-ground-guests-10th-feb-linternational-paris-tickets,"sam. 10 févr., 19:00","5 Rue Moret, 75011 Paris, France",Parade Ground
James Marriott,sam. 10 févr.,Le Hasard Ludique,19 €,https://dice.fm/event/n6mal-james-marriott-10th-feb-le-hasard-ludique-paris-tickets,"sam. 10 févr., 19:30","128 Avenue de Saint-Ouen, 75018 Paris, France",James Marriott
Skinny Lister,sam. 10 févr.,La Boule Noire,"27,50 €",https://dice.fm/event/n66lq-skinny-lister-10th-feb-la-boule-noire-paris-tickets,"sam. 10 févr., 20:00","120 Boulevard de Rochechouart, 75018 Paris, France",Skinny Lister
SPRINTS + ENGLISH TEACHER,sam. 10 févr.,Point Ephémère,"À partir de 17,92 €",https://dice.fm/event/xdq73-sprints-english-teacher-10th-feb-point-ephmre-paris-tickets,"sam. 10 févr., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France","SPRINTS, English Teacher"
CHARLELIE COUTURE,sam. 10 févr.,Le Plan,"20,20 €",https://dice.fm/event/2yq3o-charlelie-couture-10th-feb-le-plan-paris-tickets,"sam. 10 févr., 20:00","1 Avenue Louis Aragon, 91130 Ris-Orangis, France","Charlélie Couture, Arthédone"
Tuerie,sam. 10 févr.,EMB Sannois,"17,61 €",https://dice.fm/event/85ry5-tuerie-10th-feb-emb-sannois-paris-tickets,"sam. 10 févr., 20:30","2 Rue du Président Georges Pompidou, 95110 Sannois, France",Tuerie
BRUNCH : XT Trio,dim. 11 févr.,Péniche Marcounet,Gratuit,https://dice.fm/event/r86vy-brunch-xt-trio-11th-feb-pniche-marcounet-paris-tickets,"dim. 11 févr., 12:00 UTC+1","Port de l'Hotel de Ville, Paris 75004",XT Trio
Swingin' Affair fait sa B.O.,dim. 11 févr.,Péniche Marcounet,"16,48 €",https://dice.fm/event/mg3pv-swingin-affair-fait-sa-bo-11th-feb-pniche-marcounet-paris-tickets,"dim. 11 févr., 19:00 UTC+1","Port de l'Hotel de Ville, Paris 75004",
Sunday Tribute - Franz Ferdinand,dim. 11 févr.,Supersonic,Gratuit,https://dice.fm/event/lx93l-sunday-tribute-franz-ferdinand-11th-feb-supersonic-paris-tickets,"dim. 11 févr., 19:00","9 Rue Biscornet, 75012 Paris, France",
Brigands #05,dim. 11 févr.,La Boule Noire,"14,50 €",https://dice.fm/event/b2wlx-brigands-05-11th-feb-la-boule-noire-paris-tickets,"dim. 11 févr., 19:30","120 Boulevard de Rochechouart, 75018 Paris, France","Blasé, Ave Amapola, Kaben, Gatspar"
0WAVE: Paris,dim. 11 févr.,La Bellevilloise,"À partir de 28,50 €",https://dice.fm/event/7wvpv-0wave-paris-11th-feb-la-bellevilloise-paris-tickets,"dim. 11 févr., 20:00","19 Rue Boyer, 75020 Paris, France",
Buzz Kull + Contre Soirée + Pragma Enigma,lun. 12 févr.,Supersonic,Gratuit,https://dice.fm/event/85q9v-buzz-kull-contre-soire-pragma-enigma-12th-feb-supersonic-paris-tickets,"lun. 12 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Pragma Enigma, Contre Soirée, Buzz Kull"
Live Skull + Echoplain + Harmonic Permanent Drive,lun. 12 févr.,L'international,8 €,https://dice.fm/event/37mml-live-skull-echoplain-harmonic-permanent-drive-12th-feb-linternational-paris-tickets,"lun. 12 févr., 19:00","5 Rue Moret, 75011 Paris, France","Live Skull, Harmonic Permanent Drive, Echoplain"
Glasser,lun. 12 févr.,La Boule Noire,"18,60 €",https://dice.fm/event/ndg73-glasser-12th-feb-la-boule-noire-paris-tickets,"lun. 12 févr., 19:30","120 Boulevard de Rochechouart, 75018 Paris, France",Glasser
POCKET (LIVE),lun. 12 févr.,POPUP!,"13,47 €",https://dice.fm/event/yx8nx-pocket-live-12th-feb-popup-paris-tickets,"lun. 12 févr., 19:30","14 Rue Abel, 75012 Paris, France",POCKET
CMAT,lun. 12 févr.,Petit Bain,"20,20 €",https://dice.fm/event/gx3wp-cmat-12th-feb-petit-bain-paris-tickets,"lun. 12 févr., 20:00","7 Port de la Gare, 75013 Paris, France",CMAT
PERSEFONE & HYPNO5E + STELLAR CIRCUITS + LAMPR3A,mar. 13 févr.,La Machine du Moulin Rouge,"30,20 €",https://dice.fm/event/arnbq-persefone-hypno5e-stellar-circuits-lampr3a-13th-feb-la-machine-du-moulin-rouge-paris-tickets,"mar. 13 févr., 18:00","90 Boulevard de Clichy, 75018 Paris, France",
La Colonie de Vacances,mar. 13 févr.,Cabaret Sauvage,"27,40 €",https://dice.fm/event/gql96-la-colonie-de-vacances-13th-feb-cabaret-sauvage-paris-tickets,"mar. 13 févr., 19:00","59 Boulevard Macdonald, 75019 Paris, France",La Colonie de Vacances
Art School Girlfriend,mar. 13 févr.,La Boule Noire,10 €,https://dice.fm/event/859n5-art-school-girlfriend-13th-feb-la-boule-noire-paris-tickets,"mar. 13 févr., 20:00","120 Boulevard de Rochechouart, 75018 Paris, France","Première partie, Art School Girlfriend"
Holly Humberstone,mar. 13 févr.,Le Café de la Danse,"26,40 €",https://dice.fm/event/gqbka-holly-humberstone-13th-feb-le-caf-de-la-danse-paris-tickets,"mar. 13 févr., 20:00","5 Passage Louis-Philippe, 75011 Paris, France",Holly Humberstone
Hayden Pegido,mar. 13 févr.,L'international,"12,50 €",https://dice.fm/event/vnen6-hayden-pegido-13th-feb-linternational-paris-tickets,"mar. 13 févr., 20:45","5 Rue Moret, 75011 Paris, France",Hayden Pedigo
Mark William Lewis,mer. 14 févr.,Supersonic Records,"13,50 €",https://dice.fm/event/26yxa-mark-william-lewis-14th-feb-supersonic-records-paris-tickets,"mer. 14 févr., 19:00","9 Rue Biscornet, 75012 Paris, France",Mark William Lewis
Treeboy & Arc,mer. 14 févr.,Supersonic,Gratuit,https://dice.fm/event/3xawl-treeboy-arc-14th-feb-supersonic-paris-tickets,"mer. 14 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Butterfly Bulldozer, TREEBOY & ARC"
Desert Smoke + Tigerleech + Slowbot,mer. 14 févr.,L'international,8 €,https://dice.fm/event/o7obg-desert-smoke-tigerleech-slowbot-14th-feb-linternational-paris-tickets,"mer. 14 févr., 19:00","5 Rue Moret, 75011 Paris, France",
Concert  • Sirens of Lesbos,mer. 14 févr.,Le Mazette,"11,50 €",https://dice.fm/event/68e53-concert-sirens-of-lesbos-14th-feb-le-mazette-paris-tickets,"mer. 14 févr., 19:30","69 Port de la Rapée, 75012 Paris, France",Sirens of Lesbos
Edouard Bielle,mer. 14 févr.,La Maroquinerie,,https://dice.fm/event/awpm7-edouard-bielle-14th-feb-la-maroquinerie-paris-tickets,"mer. 14 févr., 19:30","23 Rue Boyer, 75020 Paris, France",Edouard Bielle
At Mos + Fabergé Falls,mer. 14 févr.,POPUP!,"5,61 €",https://dice.fm/event/8qnp7-at-mos-faberg-falls-14th-feb-popup-paris-tickets,"mer. 14 févr., 20:00","14 Rue Abel, 75012 Paris, France","At Mos, Fabergé Falls"
Loscil & Lawrence English + Guest,mer. 14 févr.,Petit Bain,19 €,https://dice.fm/event/ar952-loscil-lawrence-english-guest-14th-feb-petit-bain-paris-tickets,"mer. 14 févr., 20:00","7 Port de la Gare, 75013 Paris, France","Lawrence English, Loscil"
Loose Articles,jeu. 15 févr.,Supersonic,Gratuit,https://dice.fm/event/rk9ew-loose-articles-15th-feb-supersonic-paris-tickets,"jeu. 15 févr., 19:00","9 Rue Biscornet, 75012 Paris, France",
H-Burns,jeu. 15 févr.,La Marbrerie,"16,53 €",https://dice.fm/event/5rpll-h-burns-15th-feb-la-marbrerie-paris-tickets,"jeu. 15 févr., 19:00","21 Rue Alexis Lepere, 93100 Montreuil, France",H‐Burns
Deena Abdelwahed présente 'JBAL RRSAS' live,jeu. 15 févr.,La Gaité Lyrique,"28,25 €",https://dice.fm/event/865x5-deena-abdelwahed-prsente-jbal-rrsas-live-15th-feb-la-gait-lyrique-paris-tickets,"jeu. 15 févr., 19:30","3bis Rue Papin, 75003 Paris, France",Deena Abdelwahed
Brique Argent,jeu. 15 févr.,La Boule Noire,"15,88 €",https://dice.fm/event/pb6g8-brique-argent-15th-feb-la-boule-noire-paris-tickets,"jeu. 15 févr., 19:30","120 Boulevard de Rochechouart, 75018 Paris, France",brique argent
YADAM,jeu. 15 févr.,FGO-Barbara,16 €,https://dice.fm/event/e85g2-yadam-15th-feb-fgo-barbara-paris-tickets,"jeu. 15 févr., 19:30","1 Rue Fleury, 75018 Paris, France","YADAM, YADAM"
A Savage,jeu. 15 févr.,La Maroquinerie,20 €,https://dice.fm/event/emnl6-a-savage-15th-feb-la-maroquinerie-paris-tickets,"jeu. 15 févr., 19:30","23 Rue Boyer, 75020 Paris, France",A. Savage
Gonzaï Night x Le Turc Mécanique : Echec et mat,jeu. 15 févr.,Petit Bain,16 €,https://dice.fm/event/lx7ww-gonza-night-x-le-turc-mcanique-echec-et-mat-15th-feb-petit-bain-paris-tickets,"jeu. 15 févr., 19:30","7 Port de la Gare, 75013 Paris, France",
@,ven. 16 févr.,Supersonic Records,"13,50 €",https://dice.fm/event/oamom--16th-feb-supersonic-records-paris-tickets,"ven. 16 févr., 19:00","9 Rue Biscornet, 75012 Paris, France",@
Clementine Valentine + Constant Smiles,ven. 16 févr.,Supersonic,Gratuit,https://dice.fm/event/7b2ob-clementine-valentine-constant-smiles-16th-feb-supersonic-paris-tickets,"ven. 16 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Constant Smiles, Clementine Valentine"
Shobee & Madd,ven. 16 févr.,La Gaité Lyrique,23 €,https://dice.fm/event/n6rl3-shobee-madd-16th-feb-la-gait-lyrique-paris-tickets,"ven. 16 févr., 19:30","3bis Rue Papin, 75003 Paris, France",
"Platform: DC, Cristale",ven. 16 févr.,La Place,"14,80 €",https://dice.fm/event/r86gy-platform-dc-cristale-16th-feb-la-place-paris-tickets,"ven. 16 févr., 20:00","10 Passage de la Canopée, 75001 Paris, France","Cristale, DC"
fish narc,ven. 16 févr.,La Boule Noire,"14,73 €",https://dice.fm/event/rkdkv-fish-narc-16th-feb-la-boule-noire-paris-tickets,"ven. 16 févr., 20:00","120 Boulevard de Rochechouart, 75018 Paris, France","Première Partie, Fish Narc"
HOTEL LUX + Guest,ven. 16 févr.,Point Ephémère,17 €,https://dice.fm/event/8q2p7-hotel-lux-guest-16th-feb-point-ephmre-paris-tickets,"ven. 16 févr., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",Hotel Lux
La Colonie de Vacances,mar. 13 févr.,Cabaret Sauvage,"27,40 €",https://dice.fm/event/gql96-la-colonie-de-vacances-13th-feb-cabaret-sauvage-paris-tickets,"mar. 13 févr., 19:00","59 Boulevard Macdonald, 75019 Paris, France",La Colonie de Vacances
Art School Girlfriend,mar. 13 févr.,La Boule Noire,10 €,https://dice.fm/event/859n5-art-school-girlfriend-13th-feb-la-boule-noire-paris-tickets,"mar. 13 févr., 20:00","120 Boulevard de Rochechouart, 75018 Paris, France","Première partie, Art School Girlfriend"
Holly Humberstone,mar. 13 févr.,Le Café de la Danse,"26,40 €",https://dice.fm/event/gqbka-holly-humberstone-13th-feb-le-caf-de-la-danse-paris-tickets,"mar. 13 févr., 20:00","5 Passage Louis-Philippe, 75011 Paris, France",Holly Humberstone
Hayden Pegido,mar. 13 févr.,L'international,"12,50 €",https://dice.fm/event/vnen6-hayden-pegido-13th-feb-linternational-paris-tickets,"mar. 13 févr., 20:45","5 Rue Moret, 75011 Paris, France",Hayden Pedigo
Mark William Lewis,mer. 14 févr.,Supersonic Records,"13,50 €",https://dice.fm/event/26yxa-mark-william-lewis-14th-feb-supersonic-records-paris-tickets,"mer. 14 févr., 19:00","9 Rue Biscornet, 75012 Paris, France",Mark William Lewis
