Event Title,Date,Heure,Venue Name,Price,Event Link,Location,Artists,Genres,Organizer
NO LIMIT #2 : New Year's Rave,2023-12-31,22:30 à 08:00,Institut du Judo,"41,70 €",https://shotgun.live/events/no-limit-2-new-year-s-rave,"21 Av. de la Prte de Châtillon, 75014 Paris, France","CLTX, enfan, OMAKS, EVIL GRIMACE, Schwefelgelb","hard techno, gabber, industrial techno",Illusion Rave
La LIM - New Year's Eve 31/12,2023-12-31,22:30 à 05:30,Le Sub Pigalle,"29,99 €",https://shotgun.live/events/la-lim-new-year-eve-31-12,"3 Pl. de Clichy, 75008 Paris, France",,"pop, club, house",Doctor Love
BNK : NYE 2024,2023-12-31,22:00 à 09:00,Non mentionné,"36,75 €",https://shotgun.live/events/bnk-nye-2024,Lieu secret,"Mac Declos, parrish smith, NTBR, KOBOYO, Hellektra, KHELI, Rezpe, bassam essam ✪, OKTAV, Joe Palpite aka Chouquette, Muelsa, Pimp Ta Ride, ABTH, SALOME, SINESTHESIA, Jane, WILLYS","acid techno, techno, ebm, electro, industrial, electro house",BNK
NOUVEL AN 2024 DE LA BELLEVILLOISE,2023-12-31,22:00 à 05:30,La Bellevilloise,"40,00 €",https://shotgun.live/events/nouvel-an-2023-a-la-bellevilloise,"19-21 Rue Boyer, 75020 Paris, France","Kabylie Minogue, Matibhrama, Frederika, DeneR, Ethnic Community, Kristofo","melodic house & techno, indie dance, electro, world music",LA BELLEVILLOISE
FFR • Rave World Cup,2023-12-31,22:00 à 09:00,Non mentionné,"17,99 €",https://shotgun.live/events/ffr-rave-world-cup,Lieu secret,"AnGy KoRe, ☢ Farfacid ☢, Moldetek, Undefined., Phat Otiz, Gabriel Padrevita, AREA ØNE, Minopolska, ADHARAA, Køya, 𝙏𝙬𝙤𝙆𝙞𝙠𝙨, ZEP, Korgasmik, TACHA, Feel Free Records","techno, hard techno, acid techno, german techno, neorave, psytrance",FEEL FREE RECORDS
MESS + MONARCH | NYE 2024 CELEBRATION,2023-12-31,22:00 à 12:00,Non mentionné,"16,99 €",https://shotgun.live/events/mess-monarch-nye-2024-celebration,Lieu secret,"Somewhen, Afem Syko, Mohajer, Lars Huismann, DMN, Damien Barthet, Dotgrey, Pas de quartier, HINERT, KIDDO",,MESS PARIS
Vinyle Village & Paillettes Pompettes : Cosmic Flowers (NYE),2023-12-31,23:00 à 06:00,Sacré,"20,00 €",https://shotgun.live/events/vinyle-village-paillettes-pompettes-cosmic-flowers-nye,"142 Rue Montmartre, 75002 Paris, France",,"house, acid house, disco house, disco",Sacré
Nouvel an original : LES 100 PLUS GROS HITS,2023-12-31,20:00 à 05:00,Cabana Beach,"126,00 €",https://shotgun.live/events/nouvel-an-original-les-100-plus-gros-hits,"12 Bd de Sébastopol, 75004 Paris, France",,,PartyEvents
Phantom : TRYM,2023-12-31,23:00 à 06:00,Non mentionné,"70,19 €",https://shotgun.live/events/phantom-trym-all-night-long,"8 Bd de Bercy, 75012 Paris, France",Trym // COLOR,"techno, acid techno, industrial",PHANTOM
Résolution 2024,2023-12-31,22:00 à 05:00,Non mentionné,"13,99 €",https://shotgun.live/events/resolution-2024,"1 Rue de la République, 28300 Saint-Prest, France",,,Leqgchartres
REVEILLON PRESTIGE BIG PARTY ALEXANDRE III NEW YEAR 2024,2023-12-31,22:00 à 05:00,Solum Paris,"51,45 €",https://shotgun.live/events/reveillon-prestige-big-party-alexandre-iii-new-year-2024,"Rive gauche, Pont Alexandre III, 75007 Paris, France",,,BK PRODUCTIONS
Monarch New Year 2024,2023-12-31,21:00 à 05:00,Non mentionné,"105,00 €",https://shotgun.live/events/monarch-new-year-2024,"172 Av. de Stalingrad, 92700 Colombes, France",,,Le MONARCH
PARADISIAC CROISIERE VIP BOAT PARTY (2 AMBIANCES / OPEN BAR),2023-12-31,20:00 à 05:00,Non mentionné,"40,95 €",https://shotgun.live/events/paradisiac-croisiere-vip-boat-party-2-ambiances-open-bar,"Quai de Bercy, France",,,CHRIS MITCHELL
LA + GROSSE SOIREE HIP HOP RÉVEILLON 2024 DE FRANCE 2500PERS,2023-12-31,00:00,Bridge Club,"42,00 €",https://shotgun.live/events/la-grosse-soiree-hip-hop-reveillon-2024-de-france-2500-pers,"3 Port des Champs-Élysées, 75008 Paris, France",,,BK PRODUCTIONS
ALTERNATIVE NEW YEAR'S EVE,2023-12-31,23:00 à 06:00,Folie's Pigalle,"20,00 €",https://shotgun.live/events/alternative-new-year-s-eve,"11 Pl. Pigalle, 75009 Paris, France",,"afrobeat, dancehall, hip hop, r&b",LES FOLIES PIGALLE
RAM PAM PAM REGGAETON PARTY 2024,2023-12-31,22:00 à 06:00,FVTVR,"50,99 €",https://shotgun.live/events/ram-pam-pam-reggaeton-party-2024,"32 Quai d'Austerlitz, 75013 Paris, France",,"reggaeton, hip hop, brazilian, salsa",Noctambuzz
HEY YA ! WANDERLUST New Year's Eve 2024,2023-12-31,22:00 à 06:00,Wanderlust,"50,99 €",https://shotgun.live/events/hey-ya-wanderlust-new-year-s-eve-2024,"32 Quai d'Austerlitz, 75013 Paris, France","DJ SLY'D, Young Inde, SMOKWILLS","hip hop, r&b, dancehall, reggaeton, trap",Noctambuzz
FAMOUS NEW YEAR YOYO - PALAIS DE TOKYO THE BIG PARTY 2024,2023-12-31,22:00 à 05:00,YOYO,"72,45 €",https://shotgun.live/events/famous-new-year-yoyo-palais-de-tokyo-the-big-party-2024,"Palais De Tokyo, 13 Av. du Président Wilson, 75016 Paris, France",,,BK PRODUCTIONS
PAVILLON WAGRAM REVEILLON BAL MASQUÉ EYES WIDE SHUT 2024,2023-12-31,22:00 à 05:00,Le Pavillon Wagram,"68,25 €",https://shotgun.live/events/pavillon-wagram-reveillon-bal-masque-eyes-wide-shut-2024,"47 Av. de Wagram, 75017 Paris, France",,,BK PRODUCTIONS
NOUVEL AN DES AMBASSADEURS aux SALONS HOCHE,2023-12-31,21:00 à 05:00,Les Salons Hoche,"66,99 €",https://shotgun.live/events/nouvel-an-des-ambassadeurs-aux-salons-hoche,"9 Av. Hoche, 75008 Paris, France","DJ Zewolfy, DJ NILMA","house, pop, electro, r&b, dance, disco",Noctambuzz
LE GRAND RÉVEILLON DU NOUVEL AN  : CONCERT & DJ'S,2023-12-31,21:00 à 05:00,New Morning,"30,00 €",https://shotgun.live/events/le-grand-reveillon-du-nouvel-an-concert-soiree-dj,"7/9 R. des Petites Écuries, 75010 Paris, France",,"soul, funk, disco, r&b, rap",parisalegroove
NEW YEAR'S PARTY 2024 - GURU CLUB,2023-12-31,23:00 à 06:00,Guru Club,"15,00 €",https://shotgun.live/events/new-year-s-party-2024-guru-club,"36 Bd de la Bastille, 75012 Paris, France",Naiko,,guru paris
The Biggest Hip Hop New Year Eve at Faust,2023-12-31,22:00 à 06:00,Solum Paris,"51,45 €",https://shotgun.live/events/the-biggest-hip-hop-new-year-eve-at-faust,"Rive gauche, Pont Alexandre III, 75007 Paris, France",,"hip hop, afrobeat, r&b, reggaeton",Vibes event
GENERATION 90 vs 2000 : Nouvel An 100% Années 90-2000,2023-12-31,22:00 à 06:00,La Java,"40,99 €",https://shotgun.live/events/generation-90-vs-2000-nouvel-an-100-annees-90-2000,"105 Rue du Faubourg du Temple, 75010 Paris, France",sebastienkross,"dance, pop, hip hop, r&b, pop rock, house",Noctambuzz
ROOFTOP GEANT NEW YEAR 2024  PANORAMIQUE PARIS TOUR EIFFEL,2023-12-31,22:00 à 05:00,T7,"61,95 €",https://shotgun.live/events/rooftop-geant-new-year-2024-panoramique-paris-tour-eiffel,"Pl. des Insurgés de Varsovie, 75015 Paris, France",,,BK PRODUCTIONS
BOAT PARTY NEW YEAR 2024 NOUVEL AN D' EXCEPTION SUR LA SEINE,2023-12-31,22:00 à 05:00,La Péniche - Location Péniche Paris,"61,95 €",https://shotgun.live/events/boat-party-new-year-2024-nouvel-an-d-exception-sur-la-seine,"2 Quai de la Tournelle, 75005 Paris, France",,,BK PRODUCTIONS
DEVIANCE Night + Day / NYE 2024,2023-12-31,22:00 à 14:00,WorkshoW PARIS,"10,99 €",https://shotgun.live/events/deviance-night-day-nye-2024,"173 Rue Saint-Martin, 75003 Paris, France","Dj Sambrice, DJHarryLydon, DJ Valens, David Avril, JOSEPH CASIERO","tribal house, house, electro, progressive house",Workshow
NEW YEAR PARTY @ THÉÂTRE DU GYMNASE,2023-12-31,21:30 à 05:30,Théâtre du Gymnase Marie Bell,"52,50 €",https://shotgun.live/events/jour-de-l-an-theatre-du-gymnase,"38 Bd de Bonne Nouvelle, 75010 Paris, France",,"club, hip hop, r&b",NIGHT BIRDS Agency
Olympe • Réveillon,2023-12-31,21:00 à 06:00,Chez Olympe,"20,50 €",https://shotgun.live/events/chez-olympe-reveillon,"32 Rue Hoche, 93500 Pantin, France","Nymed, SPRKLBB","house, disco house, disco",Chez Olympe
Nouvel an x Chez Peixou et Adilou x Manoir de 230m2,2023-12-31,20:00 à 09:00,Non mentionné,"10,99 €",https://shotgun.live/events/nouvel-an-x-chez-peixou-et-adilou-x-manoir-de-230-m-2,"24 Bd du Sud-Est, 92000 Nanterre, France",,"deep house, hip hop, tech house, afro house",GREEN ISLAND
Metaxu x Masika - Wrapped 2023,2023-12-31,23:00 à 06:00,METAXU,"15,99 €",https://shotgun.live/events/metaxu-x-masika-wrapped-2023,"Place de la Pointe, 93500 Pantin, France","𝓂𝑎𝘴𝘪𝑘𝑎, KASHAMA, Klemee, boysbandz, Chulanza, Toopsie, ITSURGIRLNO","afrobeat, afro house, house, r&b",Metaxu Pantin
Nouvel An : All Night Swing,2023-12-31,22:00 à 05:00,La Marbrerie,"26,25 €",https://shotgun.live/events/nouvel-an-all-night-swing,"21 Rue Alexis Lepere, 93100 Montreuil, France",,,La Marbrerie
Réveillon Brésilien,2023-12-31,21:00 à 04:00,Non mentionné,"50,00 €",https://shotgun.live/events/reveillon-bresilien,"141 Rue Saint-Martin, 75004 Paris, France",,"baile funk, afro house, afrobeat, pagode, axé, pop",Braziliann Vibes
Feliz Ano Novo 2024 ! Nouvel An Brésilien A Paris,2023-12-31,23:00 à 06:00,Punk Paradise,"15,99 €",https://shotgun.live/events/feliz-ano-novo-2024-nouvel-an-bresilien-a-paris,"44 Rue de la Folie Méricourt, 75011 Paris, France",,"brazilian, samba, axé, baile funk, mpb, forró",Groovalizacion
NEW YEAR EVE @DEFLOWER,2023-12-31,23:00 à 06:00,Non mentionné,"73,50 €",https://shotgun.live/events/new-year-eve-deflower,"23 Rue de Ponthieu, 75008 Paris, France",SMAÅK,hip hop,Stargazing Group
PRIVATE NEW YEAR 2024 HOTEL PARTICULIER GEANT CLUB HAUSSMAN,2023-12-31,22:00 à 05:00,Club Haussmann,"61,95 €",https://shotgun.live/events/private-new-year-2024-hotel-particulier-geant-club-haussman,"23 Rue Taitbout, 75009 Paris, France",,,BK PRODUCTIONS
Bénévolat de Janvier - La Prairie du Canal,2024-01-01,00:00,La Prairie du Canal,Gratuit,https://shotgun.live/events/benevolat-de-janvier-la-prairie-du-canal,"55 Rue de Paris, 93000 Bobigny, France",,,La SAUGE
Bénévolat de Janvier - Terre Terre,2024-01-01,00:00,Terre Terre (ferme urbaine),Gratuit,https://shotgun.live/events/benevolat-de-janvier-terre-terre,"223 Bd Félix Faure, 93300 Aubervilliers, France",,,La SAUGE
Adhésion La SAUGE 2024,2024-01-01,07:00,La Prairie du Canal,"5,80 €",https://shotgun.live/events/adhesion-la-sauge-2024,"55 Rue de Paris, 93000 Bobigny, France",,,La SAUGE
After O'Clock : WELCOME 2024,2024-01-01,05:00 à 16:00,Glazart,"5,00 €",https://shotgun.live/events/after-o-clock-welcome-2024,"7 Av. de la Prte de la Villette, 75019 Paris, France","Tina Tornade, Cuften, Shaney, Glazart",techno,GLAZART
PISICA : NYE Afterparty 2024,2024-01-01,03:00 à 15:00,Café Barge Restaurant,"15,99 €",https://shotgun.live/events/pisica-nye-afterparty-2024,"Port de la Rapée, 75012 Paris, France",Pisica Records,,PISICA
¡After Sauvage #2?,2024-01-01,05:00 à 12:00,Cabaret Sauvage,"16,99 €",https://shotgun.live/events/after-sauvage-2,"59 Bd Macdonald, 75019 Paris, France","microclimat, Mic Mac, Pardonnez-nous, La Wild, ¡Sauvage?","techno, electro, house",CABARET SAUVAGE
T7 PASS : JANVIER/MAI 2024,2024-01-01,00:00,T7,,https://shotgun.live/events/t-7-pass-janvier-mai-2024,"Pl. des Insurgés de Varsovie, 75015 Paris, France",,,T7
Afterwork Groovin’ #3,2024-01-04,18:00,Guru Club,Gratuit,https://dice.fm/event/r8nvr-afterwork-groovin-3-4th-jan-guru-club-paris-tickets,"36 Boulevard De La Bastille, 75012 Paris, France",,,
"La Java : Want One ?, Ponky, Erna, Désirée & More",2024-01-04,23:00,La Java,À partir de 5 €,https://dice.fm/event/25k8p-la-java-want-one-ponky-erna-dsire-more-4th-jan-la-java-paris-tickets,"105 Rue du Faubourg du Temple, 75010 Paris, France",,,
Club Society I Pierrinski,2024-01-04,21:30,Le Food Society Paris,Gratuit,https://dice.fm/event/9rxb9-club-society-i-pierrinski-4th-jan-le-food-society-paris-paris-tickets,"68 Avenue Du Maine, 75014 Paris, France","Dj set Pierrinski, Fin de soirée",,
Plastic Palms + Clamn Dever + Panty Panty,2024-01-04,19:00,L'international,8 €,https://dice.fm/event/xym5a-plastic-palms-clamn-dever-panty-panty-4th-jan-linternational-paris-tickets,"5 Rue Moret, 75011 Paris, France","Plastic Palms, Clamn Dever, PanTy PanTy",,
Les Clopes + Scimia + Blank\\,2024-01-04,,Supersonic,Gratuit,https://dice.fm/event/qp2ny-les-clopes-scimia-blank-4th-jan-supersonic-paris-tickets,,,,
Analog Rizz,2024-01-04,23:00,PAMELA,"11,22 €",https://dice.fm/event/kl8v8-analog-rizz-4th-jan-pamela-paris-tickets,"62 Rue Mazarine, 75006 Paris, France",,,
TOO MUCH - OPENING PARTY,2024-01-04,23:00 à 05:00,Club La Nuit,"13,98 €",https://shotgun.live/events/too-much-opening-party,"8 Bd de la Madeleine, 75009 Paris, France","STX, Nicolas Franza","pop, r&b, reggaeton, house",LA NUIT PARIS
BAILE DO BELLEVILLE + DJ CHACHACHA @Le 9B,2024-01-04,21:00 à 02:00,Le 9b,Gratuit,https://shotgun.live/events/baile-do-belleville-dj-chachacha-le-9-b,"68 Bd de la Villette, 75019 Paris, France",,baile funk,Le 9B
"Galop Galop : Mayeul b2b Bours?, Ntbr & more",2024-01-04,23:59 à 07:00,Rex Club,"14,80 €",https://shotgun.live/events/galop-galop-mayeul-b-2-b-bours-ntbr-more,"5 Bd Poissonnière, 75002 Paris, France","Mayeul, bours?, Vitaline, Dju:n, ESKHA, Aureb, NTBR","techno, electro",REX CLUB
"Lipstick - Marc Ruchmann, Dani Bumba, Daiss",2024-01-04,20:00 à 01:00,L'Alimentation Générale,"5,59 €",https://shotgun.live/events/lipstick-marc-ruchmann-dani-bumba-daiss,"64 Rue Jean-Pierre Timbaud, 75011 Paris, France",Dani Bumba,"hip hop, rap, soul, electro",L'Alimentation Générale
ALEDE w/ Discodogz & Burrata Records,2024-01-04,19:00 à 04:00,Panic Room,Gratuit,https://shotgun.live/events/alede-w-discodogz-burrata-records,"101 Rue Amelot, 75011 Paris, France",,"disco house, acid house, indie dance, trance",Panic Room
Club — HORS-SOL all night long,2024-01-04,23:30 à 06:00,Badaboum,"6,49 €",https://shotgun.live/events/club-hors-sol-extended-set,"2 bis Rue des Taillandiers, 75011 Paris, France",HORS-SOL,"trance, house, electro",BADABOUM
AL BEYT x LA FLÈCHE D'OR,2024-01-05,19:00,La Flèche d'Or,À partir de 10 €,https://dice.fm/event/n57pq-al-beyt-x-la-flche-dor-5th-jan-la-flche-dor-paris-tickets,"102b Rue De Bagnolet, 75020 Paris, France",,,
We Crush !,2024-01-05,20:00,911 Paris,À partir de Gratuit,https://dice.fm/event/mg8vw-we-crush-5th-jan-911-paris-paris-tickets,"18 Rue Paul Klee, 75013 Paris, France",,,
Toilettes Mixtes présente 🌈 DEMAIN SE DANSE ICI,2024-01-05,22:00,Le Mazette,"À partir de 11,22 €",https://dice.fm/event/yw5qr-toilettes-mixtes-prsente-demain-se-danse-ici-5th-jan-le-mazette-paris-tickets,"69 Port de la Rapée, 75012 Paris, France",Maud Geffray,,
Club Society I FLORENTINE ٠ ROLLER PARTƳ RESI٠DANCY,2024-01-05,22:00,Le Food Society Paris,Gratuit,https://dice.fm/event/qp6gx-club-society-i-florentine-roller-part-residancy-5th-jan-le-food-society-paris-paris-tickets,"68 Avenue Du Maine, 75014 Paris, France","Dj set, Florentine Candy Club",,
Ball in Pvris,2024-01-05,23:00,Le Cardinal Paris,Gratuit,https://dice.fm/event/r89gr-ball-in-pvris-5th-jan-le-cardinal-paris-paris-tickets,"1 Boulevard Des Italiens, 75002 Paris, France",,,
CHEVRY AGENCY & INCREASE THE GROOVE,2024-01-05,23:00,La Bellevilloise,"20,90 €",https://dice.fm/event/yxlex-chevry-agency-increase-the-groove-5th-jan-la-bellevilloise-paris-tickets,"19 Rue Boyer, 75020 Paris, France",,,
"JOE LEWANDOWSKI, FATMAMMOUR & MON CHER GUY",2024-01-05,23:30,La Java,À partir de 13 €,https://dice.fm/event/doele-joe-lewandowski-fatmammour-mon-cher-guy-5th-jan-la-java-paris-tickets,"105 Rue du Faubourg du Temple, 75010 Paris, France","Joe Lewandowski, mon cher guy",,
Chronologic (North Side),2024-01-05,23:30,La Machine du Moulin Rouge,"22,44 €",https://dice.fm/event/68963-chronologic-north-side-5th-jan-la-machine-du-moulin-rouge-paris-tickets,"90 Boulevard de Clichy, 75018 Paris, France",Fermeture des portes,,
Le Bal du 10,2024-01-05,23:55,Les Étoiles,"À partir de 12,99 €",https://dice.fm/event/opw6r-le-bal-du-10-5th-jan-les-toiles-paris-tickets,"61 Rue du Château d'Eau, 75010 Paris, France","David Stepanoff, Marc Ryan",,
Rock Around The Clock,2024-01-05,19:00,Supersonic,"6,50 €",https://dice.fm/event/png2p-rock-around-the-clock-5th-jan-supersonic-paris-tickets,"9 Rue Biscornet, 75012 Paris, France","Live Tribute, Live Tribute 2",,
HOODLIFE,2024-01-05,23:00,Wanderlust,12 €,https://dice.fm/event/7wq2b-hoodlife-5th-jan-wanderlust-paris-tickets,"32 Quai d'Austerlitz, 75013 Paris, France",Fermeture des portes,,
Caribbean groove dur les toits de paris,2024-01-05,23:00,Tout Le Monde en Parle,À partir de Gratuit,https://dice.fm/event/lkoql-caribbean-groove-dur-les-toits-de-paris-5th-jan-tout-le-monde-en-parle-paris-tickets,"4 Rue Du Départ, 75015 Paris, France","Fermeture, djsprinter",,
"33 Dogs, I Scream, Luciano & The Clouds, DJ Set",2024-01-05,21:00,Le Sub Pigalle,"11,80 €",https://dice.fm/event/mglev-33-dogs-i-scream-luciano-the-clouds-dj-set-5th-jan-le-sub-pigalle-paris-tickets,"3 Place De Clichy, 75008 Paris, France","33 Dogs, I scream, Luciano & The Clouds",,
Laurie Xhaard + Thomas Baignères,2024-01-05,20:00,POPUP!,Gratuit,https://dice.fm/event/don3q-laurie-xhaard-thomas-baignres-5th-jan-popup-paris-tickets,"14 Rue Abel, 75012 Paris, France",Thomas Baignères,,
La nuit des chansons tristes,2024-01-05,19:30,Anti Club du Cirque électrique,8 €,https://dice.fm/event/v2vvg-la-nuit-des-chansons-tristes-5th-jan-anti-club-du-cirque-lectrique-paris-tickets,"Place Du Maquis Du Vercors, 75020 Paris, France","Nutsz, jakeVII, sang9",,
The Wolf You Feed + Gargantura + Cerbera,2024-01-05,19:00,L'international,7 €,https://dice.fm/event/v2wkl-the-wolf-you-feed-gargantura-cerbera-5th-jan-linternational-paris-tickets,"5 Rue Moret, 75011 Paris, France","The Wolf You Feed, Cerbera, Gargantura",,
Simone's Carpet + Lavomatic,2024-01-05,19:00,Supersonic,Gratuit,https://dice.fm/event/373kp-simones-carpet-lavomatic-5th-jan-supersonic-paris-tickets,"9 Rue Biscornet, 75012 Paris, France","Lavomatic, Simone's Carpet",,
Afrotherapy EP14,2024-01-05,23:30,Level Club,À partir de Gratuit,https://dice.fm/event/o7qey-afrotherapy-ep14-5th-jan-level-club-paris-tickets,49 rue de Ponthieu 75008,,,
Gin Sonic,2024-01-05,23:00,POPUP!,Gratuit,https://dice.fm/event/7wmp9-gin-sonic-5th-jan-popup-paris-tickets,"14 Rue Abel, 75012 Paris, France",,,
Feel The Vibes #2,2024-01-05,23:00,Guru Paris,Gratuit,https://dice.fm/event/mgl6w-feel-the-vibes-2-5th-jan-guru-paris-paris-tickets,"36 Boulevard De La Bastille, 75012 Paris, France",,,
GLOW PARTy VENUE,2024-01-05,23:59 à 07:00,Le Magnum Klub,"7,99 €",https://shotgun.live/events/glow-par-ty-venue,"56 Rue de la Fontaine au Roi, 75011 Paris, France","k0uci, ANØMALY, Rêving, Amazhoss","techno, acid techno, hard techno",Magnum Klub
Le Bal du 10eme # Vend 05 Jan,2024-01-05,23:55 à 06:00,Les Étoiles,"12,99 €",https://shotgun.live/events/le-bal-du-10-eme-vend-05-jan,"61 Rue du Château d'Eau, 75010 Paris, France","David Stepanoff, Marc  Ryan","pop rock, hip hop, r&b, house, dance, disco",Etoiles
OH MY BASS ! #17 // Pharaon - Neckløw - Aristid - Dr Frenesy,2024-01-05,19:00 à 01:30,Les Apaches,Gratuit,https://shotgun.live/events/oh-my-bass-17-pharaon-necklow-aristid-dr-frenesy,"99 Rue de Ménilmontant, 75020 Paris, France","Dr Frenesy, Pharaon, NeckLøw, ARISTID","bass, dubstep, drum & bass, electro, edm, trap",OH MY BASS !
EVIDANCE w/ Incertitudes Musicales,2024-01-05,19:00 à 05:00,Panic Room,Gratuit,https://shotgun.live/events/evidance-w-incertitudes-musicales,"101 Rue Amelot, 75011 Paris, France",Incertitudes Musicales,,Panic Room
Evolove Party @ L'international,2024-01-05,23:59 à 06:00,L'International,"7,99 €",https://shotgun.live/events/evolove-party-l-international,"5/7 Rue Moret, 75011 Paris, France","Meg Paine, Stourm, JULIDI","breakbeat, techno, trance",Evolove Music
SIN - house all night long #3,2024-01-05,21:00 à 05:00,La Poudrière,Gratuit,https://shotgun.live/events/sin-house-all-night-long-3,"41 Rue Servan, 75011 Paris, France",,"house, deep house, afro house, tech house, bass house",Onesh
CTL v24 @Le 9B,2024-01-05,21:00 à 02:00,Le 9b,,https://shotgun.live/events/ctl-v-24-le-9-b,"68 Bd de la Villette, 75019 Paris, France",,,Le 9B
GROOVE CONTROL : JOE LEWANDOWSKI / MON CHER GUY & MORE,2024-01-05,23:30 à 07:00,La Java,"10,69 €",https://shotgun.live/events/groove-control-joe-lewandowski-mon-cher-guy-more,"105 Rue du Faubourg du Temple, 75010 Paris, France","Joe Lewandowski, Mon cher Guy, Fat Mamour","house, electro, techno",LA JAVA
H3 Reunit // 22h/06h - 2 scènes - Gratuit avant 00h,2024-01-05,22:00 à 06:00,La Rotonde Stalingrad,"7,99 €",https://shotgun.live/events/h-3-reunite-21-h-06-h-2-scenes-gratuit-avant-00-h,"6-8 Pl. de la Bataille de Stalingrad, 75019 Paris, France","carin kelly, Hyas, Pura Pura, Ski_Carl, Vouiz","house, uk garage, afrobeat, hip hop, electro, bass",La Rotonde Stalingrad
"Pandemic x Nexus : Le Bask, Remzcore, El Desperado & more",2024-01-05,23:00 à 07:00,Nexus,"22,00 €",https://shotgun.live/events/pandemic-x-nexus-le-bask-remzcore-el-desperado-more,"100 Av. du Général Leclerc, 93500 Pantin, France","Le Bask, El Desperado, Remzcore, Section Grabuge, So Juice, Toxic Twins 🕉, INSUSPECT","hardcore, techno, acidcore, frenchcore, new rave",Nexus
Jus-Ed (all night long),2024-01-05,23:59 à 06:00,Djoon,"10,99 €",https://shotgun.live/events/jus-ed-all-night-long,"22 Bd Vincent Auriol, 75013 Paris, France",DJ JUS-ED,"house, deep house, chicago house, acid house, disco",DJOON
RESURRECTION BIRTHDAY PARTY,2024-01-05,23:59 à 07:00,Nouveau Casino,"23,10 €",https://shotgun.live/events/resurrection-birthday-party,"109 Rue Oberkampf, 75011 Paris, France","Raxeller, Fantasm, VINKA WYDRO, NEYLUJ","hard techno, neorave, industrial techno, hardcore, techno",RESURRECTION
"TTC x GLAZART : ARTISAN, ESILISE, OGMAH & FUJI",2024-01-05,23:59 à 06:00,Glazart,"12,00 €",https://shotgun.live/events/ttc-x-glazart-artisan-esilise-ogmah-fuji,"7 Av. de la Prte de la Villette, 75019 Paris, France","ARTISAN, OGMAH, The Techno's Children","techno, hard techno, hard groove",GLAZART
"RMMT w/ Alexandra, Tiano, Zeller, Lawis",2024-01-05,20:00 à 05:00,Non mentionné,"10,99 €",https://shotgun.live/events/rmmt-w-alexandra-tiano-zeller-lawis,"Espl. Johnny Hallyday, 75012 Paris, France","RMMT-Roommates, Tiano RMMT, Alexandra, Lawis","electro, house, techno, breakbeat, uk garage, minimal house",LiveBar
BachaNueva SBK,2024-01-05,20:00 à 02:00,Non mentionné,"9,99 €",https://shotgun.live/events/bacha-nueva-sbk,"46 Rue des Rigoles, 75020 Paris, France",,salsa,SALSANUEVA
"Toilettes Mixtes w/ Maud Geffray, La Tchoin, Saaunå",2024-01-05,22:00 à 04:00,Le Mazette,"10,99 €",https://shotgun.live/events/toilettes-mixtes-presente-demain-se-danse-ici,"69 Port de la Rapée, 75012 Paris, France","Maud Geffray, Toilettes Mixtes, La Tchoin, Saaunå","house, electro",Le Mazette
Club — Kendal residency : all night long,2024-01-05,23:30 à 07:00,Badaboum,,https://shotgun.live/events/club-kendal-residency-all-night-long,"2 bis Rue des Taillandiers, 75011 Paris, France",Kendal,"house, italo disco, trance",BADABOUM
Vehemence Extreme Saison 1,2024-01-05,23:59 à 06:00,Le Klub,"6,99 €",https://shotgun.live/events/vehemence-extreme-saison-1,"14 Rue Saint-Denis, 75001 Paris, France","Just Say Red, __xnihilo__, Pegazus_Musicc, SANT LOOP","hard techno, techno, industrial techno, german techno",Véhémence
Kiss My Valentine #18,2024-01-05,19:00 à 23:00,La Bellevilloise,"12,10 €",https://shotgun.live/events/kiss-my-valentine-18,"19-21 Rue Boyer, 75020 Paris, France",,,LA BELLEVILLOISE
Chevry Agency & Increase the Groove,2024-01-05,23:00 à 05:30,La Bellevilloise,"15,40 €",https://shotgun.live/events/chevry-agency-increase-the-groove,"19-21 Rue Boyer, 75020 Paris, France","Occibel, ALYHAS, Tomich aka Kichta, DJ Tjizza, HearThuG","house, techno, minimal techno",LA BELLEVILLOISE
Sacré présente Guillermo Jamas / Dazzling City Sounds#2,2024-01-05,23:00 à 06:00,Sacré,"10,00 €",https://shotgun.live/events/sacre-presente-guillermo-jamas-dazzling-city-sounds-2,"142 Rue Montmartre, 75002 Paris, France","Guillermo Jamas, FUNKY FRENCH LEAGUE","house, micro house, disco, disco house",Sacré
Miley Serious Presents: Om Unit Toma Kami Lu2k Miley Serious,2024-01-05,23:59 à 07:00,Rex Club,"15,80 €",https://shotgun.live/events/miley-serious-presents-om-unit-toma-kami-lu-2-k-miley-serious,"5 Bd Poissonnière, 75002 Paris, France","MILEY SERIOUS, Om Unit, LU2K, Toma Kami","bass, breakbeat, dubstep",REX CLUB
Le Retour De La Bringue !,2024-01-06,20:00,911 Paris,À partir de Gratuit,https://dice.fm/event/37n9p-le-retour-de-la-bringue-6th-jan-911-paris-paris-tickets,"18 Rue Paul Klee, 75013 Paris, France",,,
Orka x Sakral : POPOF / SKOLLARIS / LAURENT FLAOH..,2024-01-06,23:55 à 07:00,Non mentionné,"21,00 €",https://shotgun.live/events/orka-x-sakral-popof-skollaris-laurent-flaoh,"4 Quai Saint-Bernard, 75005 Paris, France","POPOF, Skøllaris, Laurent Flaoh, Mike Krier, Nix The Jockey, Gridou","techno, minimal techno, melodic house & techno, deep techno, acid techno",Orka
